"","LatitudeMeasure","LongitudeMeasure","conc"
"913",47.542127,-116.164911,0.19
"915",47.542127,-116.164911,4.1
"918",47.542127,-116.164911,4.2
"919",47.543522293,-116.20558443,74.1
"920",47.543522293,-116.20558443,88.9
"921",47.543522293,-116.20558443,67.1
"922",47.543522293,-116.20558443,84.6
"923",47.543522293,-116.20558443,55
"925",47.543522293,-116.20558443,68.5
"926",47.543522293,-116.20558443,82.1
"927",47.543522293,-116.20558443,55.2
"928",47.543522293,-116.20558443,70
"929",47.540006187,-116.12639325,1
"933",47.540006187,-116.12639325,0.707106781187
"936",47.540006187,-116.12639325,4.1
"937",47.540006187,-116.12639325,0.085
"940",47.540006187,-116.12639325,1.2
"941",35.7956,-90.8094,0.707106781187
"942",35.7956,-90.8094,0.353553390593
"944",47.54158718,-116.1371709,1
"949",47.54158718,-116.1371709,0.3
"952",47.54158718,-116.1371709,0.24
"953",47.54158718,-116.1371709,1.3
"956",47.54158718,-116.1371709,6.9
"957",35.1172,-119.0376,14.1421356237
"958",47.547678904,-116.15822741,13.5
"959",47.547678904,-116.15822741,76.9
"960",47.547678904,-116.15822741,43.2
"961",47.547678904,-116.15822741,33.3
"962",47.547678904,-116.15822741,86.4
"963",47.547678904,-116.15822741,68.3
"964",47.547678904,-116.15822741,71.1
"965",47.547678904,-116.15822741,92.1
"966",47.547678904,-116.15822741,60.9
"967",47.547678904,-116.15822741,17.3
"968",47.547678904,-116.15822741,43.4
"969",47.547678904,-116.15822741,31.8
"970",40.2758,-122.1814,0.0707106781187
"971",33.86202,-87.342445,0.0933380951166
"976",33.86202,-87.342445,0.159099025767
"977",33.86202,-87.342445,0.562149891043
"981",40.9863,-124.0857,0.0707106781187
"983",33.944826,-87.303624,0.0933380951166
"987",33.944826,-87.303624,0.562149891043
"990",38.15665347,-109.753730749,0.707106781187
"1001",38.15665347,-109.753730749,3.53553390593
"1029",29.99,-92.28,2.82842712475
"1030",29.99,-92.28,7.07106781187
"1031",29.99,-92.28,2.12132034356
"1033",29.99,-92.28,3.53553390593
"1035",29.99,-92.28,2.54558441227
"1036",37.4758,-105.9458,38
"1037",37.4758,-105.9458,37
"1038",47.48846,-115.8907,3
"1054",45.450064,-106.120007,2.12132034356
"1056",45.450064,-106.120007,4
"1064",45.450064,-106.120007,0.707106781187
"1068",45.482611,-106.141305,2.12132034356
"1079",45.482611,-106.141305,0.707106781187
"1083",47.49847,-115.8828,3
"1105",47.525339,-116.175899,10
"1111",47.525339,-116.175899,5
"1114",47.525339,-116.175899,2.1
"1116",47.525339,-116.175899,1
"1121",47.525339,-116.175899,3
"1133",47.525339,-116.175899,4.5
"1134",47.525339,-116.175899,0.5
"1139",47.525339,-116.175899,1.5
"1146",47.5457035,-116.1537243,4.5
"1147",47.5470263,-116.2185674,10
"1152",47.5470263,-116.2185674,3.5
"1153",47.5470263,-116.2185674,5
"1155",47.5470263,-116.2185674,5.8
"1157",47.5470263,-116.2185674,1
"1158",47.5470263,-116.2185674,15
"1160",47.5470263,-116.2185674,3
"1172",47.5470263,-116.2185674,1.5
"1173",47.5470263,-116.2185674,0.5
"1181",47.5470263,-116.2185674,4.5
"1182",47.539451,-116.1657133,5
"1186",47.539451,-116.1657133,3
"1189",47.539451,-116.1657133,1.5
"1191",47.539451,-116.1657133,4.5
"1196",32.12,-93.7,2.82842712475
"1198",30.89,-91.81,2.82842712475
"1200",47.527112097,-115.87741347,0.15
"1201",47.527112097,-115.87741347,0.14
"1202",47.527112097,-115.87741347,0.086
"1203",47.527112097,-115.87741347,0.12
"1205",47.527112097,-115.87741347,0.089
"1206",47.527112097,-115.87741347,10
"1212",47.527112097,-115.87741347,0.36
"1213",47.527112097,-115.87741347,0.62
"1214",47.527112097,-115.87741347,1.2
"1219",47.527112097,-115.87741347,1
"1220",47.527112097,-115.87741347,0.63
"1221",47.527112097,-115.87741347,0.13
"1224",33.7177917,-112.0724806,2.82842712475
"1225",38.7175,-106.8505,10.6066017178
"1227",45.49455,-106.187448,2.12132034356
"1237",45.49455,-106.187448,0.707106781187
"1241",44.64056,-93.15922,2.82842712475
"1242",36.0142,-119.9769,0.707106781187
"1243",37.5321,-109.492017,0.353553390593
"1244",37.5321,-109.492017,2.4
"1245",37.5321,-109.492017,2.3
"1246",37.5321,-109.492017,3
"1248",37.5321,-109.492017,20.1
"1249",37.5321,-109.492017,2
"1250",37.5321,-109.492017,2.6
"1251",37.5321,-109.492017,2.8
"1252",37.5321,-109.492017,0.141421356237
"1253",37.5321,-109.492017,9.9
"1254",37.5321,-109.492017,2.2
"1255",37.5321,-109.492017,9
"1257",37.5321,-109.492017,1.7
"1258",37.5321,-109.492017,1.6
"1260",37.5321,-109.492017,2.9
"1261",45.544689,-106.176152,2.12132034356
"1272",45.544689,-106.176152,0.707106781187
"1276",46.6462,-111.9371,2.12132034356
"1278",34.78614,-91.89158,7.07106781187
"1279",45.879009,-106.619817,70709971.0119
"1286",48.175833,-115.532778,3.53553390593
"1287",39.848547543,-113.813047126,0.777817459305
"1288",47.5478229,-116.1472606,10
"1293",47.5478229,-116.1472606,5.8
"1294",47.5478229,-116.1472606,3.5
"1295",47.5478229,-116.1472606,3.7
"1297",47.5478229,-116.1472606,5
"1304",47.5478229,-116.1472606,1
"1311",47.5478229,-116.1472606,4.5
"1314",47.5478229,-116.1472606,6
"1317",48.181389,-115.536111,3.53553390593
"1325",47.53467,-116.171239,10
"1330",47.53467,-116.171239,15
"1333",47.53467,-116.171239,1
"1335",47.53467,-116.171239,0.14
"1337",47.53467,-116.171239,5
"1338",47.53467,-116.171239,3.5
"1341",47.53467,-116.171239,5.8
"1349",47.53467,-116.171239,3
"1358",47.53467,-116.171239,4.5
"1359",47.53467,-116.171239,1.5
"1364",47.53467,-116.171239,0.5
"1371",47.53467,-116.171239,2
"1372",45.87592,-106.620435,70709971.0119
"1379",38.393039399,-109.446784242,0.707106781187
"1383",38.393039399,-109.446784242,3.53553390593
"1387",48.174167,-115.546111,3.53553390593
"1393",45.875914,-106.620458,70709971.0119
"1401",45.387778,-109.872778,0.707106781187
"1402",47.916389,-108.535,3.53553390593
"1410",48.181667,-115.523611,3.53553390593
"1411",45.873429,-106.565005,70709971.0119
"1417",45.873429,-106.565005,353.553390593
"1419",35.6246783,-117.6683965,4
"1420",45.857154,-106.560812,70709971.0119
"1422",45.857154,-106.560812,0.141421356237
"1427",45.857154,-106.560812,3.53553390593
"1429",47.988611,-115.736667,0.707106781187
"1430",39.176621397,-113.364974244,0.707106781187
"1431",48.164722,-115.563611,3.53553390593
"1439",47.94824567,-118.09342769,2
"1442",47.94824567,-118.09342769,10
"1443",47.94824567,-118.09342769,5
"1448",47.94824567,-118.09342769,1
"1453",47.94824567,-118.09342769,3
"1459",47.94824567,-118.09342769,4
"1460",40.579956084,-109.623751789,3.53553390593
"1461",40.579956084,-109.623751789,0.707106781187
"1470",45.882074,-106.619121,70709971.0119
"1480",47.93331689,-118.09357714,10
"1481",41.709645946,-112.921368778,3.53553390593
"1488",47.93404241,-118.09334124,10
"1489",47.93404241,-118.09334124,1
"1491",47.93404241,-118.09334124,20
"1494",47.93404241,-118.09334124,3
"1496",47.93404241,-118.09334124,5
"1499",47.93404241,-118.09334124,50
"1500",47.93404241,-118.09334124,30
"1506",47.94157485,-118.09346788,20
"1508",47.94157485,-118.09346788,100
"1509",47.94157485,-118.09346788,5
"1510",47.94157485,-118.09346788,3
"1511",47.94157485,-118.09346788,10
"1513",47.93329009,-118.09367055,5
"1514",47.93329009,-118.09367055,10
"1516",47.93329009,-118.09367055,20
"1518",47.93329009,-118.09367055,30
"1521",47.93329009,-118.09367055,2
"1522",47.93329009,-118.09367055,1
"1523",47.93329009,-118.09367055,50
"1525",47.93329009,-118.09367055,0.5
"1526",47.93329009,-118.09367055,3
"1534",47.9334774,-118.09364415,10
"1535",41.717419936,-112.927202129,3.53553390593
"1538",47.53121969,-122.2007324,1
"1539",47.92962283,-118.09332576,1
"1542",47.92962283,-118.09332576,2
"1546",47.92962283,-118.09332576,10
"1547",47.498073,-115.974678,1
"1548",47.498073,-115.974678,14.9
"1550",47.498073,-115.974678,14.4
"1551",47.498073,-115.974678,6.6
"1552",47.498073,-115.974678,2.4
"1553",47.498073,-115.974678,86.2
"1554",47.498073,-115.974678,71.4
"1555",47.498073,-115.974678,11.1
"1556",47.498073,-115.974678,2.8
"1559",47.498073,-115.974678,3
"1562",47.498073,-115.974678,90.6
"1564",47.498073,-115.974678,1.9
"1566",47.498073,-115.974678,92.3
"1570",47.498073,-115.974678,15.7
"1574",47.498073,-115.974678,15.9
"1575",38.0376,-103.4171,10.6066017178
"1577",40.7193,-122.8036,0.0707106781187
"1581",41.8377,-124.1627,0.0707106781187
"1583",36.7774,-120.4054,3.53553390593
"1585",36.7774,-120.4054,7.07106781187
"1619",47.52389,-116.0545,17.6776695297
"1620",47.52389,-116.0545,0.52
"1622",47.52389,-116.0545,5.8
"1627",47.52389,-116.0545,1.7
"1628",47.52389,-116.0545,1
"1638",47.52389,-116.0545,0.54
"1639",47.52389,-116.0545,1.1
"1640",47.52389,-116.0545,1.3
"1641",47.52389,-116.0545,0.0176776695297
"1642",47.52389,-116.0545,3
"1650",47.54896,-116.3488,1
"1651",47.54896,-116.3488,3
"1667",47.54896,-116.3488,7.3
"1668",47.54896,-116.3488,7.6
"1669",47.54896,-116.3488,7.7
"1674",47.54896,-116.3488,7.1
"1677",47.54896,-116.3488,2.2
"1684",47.54896,-116.3488,2
"1685",47.54896,-116.3488,1.8
"1687",47.54896,-116.3488,1.5
"1714",47.54896,-116.3488,0.71
"1721",47.54896,-116.3488,0.74
"1724",47.54896,-116.3488,0.16
"1731",47.54896,-116.3488,0.11
"1732",47.55244,-116.3587,27.9
"1733",47.55244,-116.3587,6.2
"1734",47.55244,-116.3587,3
"1735",47.55244,-116.3587,5.3
"1736",47.55244,-116.3587,0.89
"1737",47.55244,-116.3587,7.4
"1738",47.55244,-116.3587,1
"1739",47.55244,-116.3587,7.1
"1740",47.55244,-116.3587,3.6
"1741",47.55244,-116.3587,6.7
"1742",47.55244,-116.3587,10.7
"1743",47.55244,-116.3587,6.9
"1744",47.55244,-116.3587,2.6
"1745",47.55244,-116.3587,1.3
"1747",47.55244,-116.3587,9.3
"1748",47.55244,-116.3587,6
"1749",47.55244,-116.3587,9
"1750",47.55244,-116.3587,6.3
"1751",47.55244,-116.3587,14.9
"1752",47.55244,-116.3587,17.5
"1753",47.55244,-116.3587,5.9
"1755",47.55244,-116.3587,1.4
"1756",47.55244,-116.3587,4.5
"1758",47.55244,-116.3587,1.6
"1760",47.55244,-116.3587,4.2
"1762",47.55244,-116.3587,0.92
"1763",47.55244,-116.3587,0.99
"1764",47.9341087,-118.0930997,25.2
"1765",47.9341087,-118.0930997,28.7
"1766",47.9341087,-118.0930997,1
"1768",35.232,-119.3299,0.707106781187
"1775",39.76039,-105.50077,14.1421356237
"1776",39.76039,-105.50077,1.41421356237
"1777",39.76039,-105.50077,3.53553390593
"1782",39.76039,-105.50077,7.07106781187
"1785",39.76039,-105.50077,1.76776695297
"1796",39.76039,-105.50077,0.353553390593
"1797",39.76039,-105.50077,0.535
"1803",46.661736,-111.946926,2.12132034356
"1808",37.8298,-121.5574,0.707106781187
"1812",47.52835,-116.0518,17.6776695297
"1813",47.52835,-116.0518,6.1
"1823",47.52835,-116.0518,0.48
"1824",47.52835,-116.0518,1
"1826",47.52835,-116.0518,1.7
"1828",47.52835,-116.0518,5.4
"1830",47.52835,-116.0518,25
"1846",47.52835,-116.0518,0.49
"1849",47.52835,-116.0518,1.2
"1850",47.52835,-116.0518,0.0176776695297
"1851",47.52835,-116.0518,0.99
"1852",47.52835,-116.0518,10
"1853",47.52835,-116.0518,7
"1854",47.52835,-116.0518,9
"1865",47.52835,-116.0518,3
"1869",47.52835,-116.0518,0.55
"1870",47.52835,-116.0518,5
"1873",37.8579,-107.8464,10.6066017178
"1886",37.8579,-107.8464,18
"1891",37.8579,-107.8464,12
"1893",37.8579,-107.8464,13
"1897",37.8579,-107.8464,15
"1907",37.8579,-107.8464,25
"1933",37.8579,-107.8464,0.919238815543
"1986",37.8579,-107.8464,77
"1993",46.601735,-111.980628,9
"1996",46.601735,-111.980628,10
"1998",46.634935,-111.953927,2.12132034356
"2003",46.635,-111.9531,2.12132034356
"2009",37.0742,-121.0151,0.707106781187
"2011",38.86452962,-107.0418221,0.353553390593
"2014",38.86452962,-107.0418221,1.76776695297
"2018",45.878527,-106.62302,3.53553390593
"2019",40.4796,-122.2589,0.0707106781187
"2020",34.834,-118.7119,0.707106781187
"2021",47.52794,-116.0515,20
"2022",47.52794,-116.0515,17.6776695297
"2025",47.52794,-116.0515,18
"2027",47.52794,-116.0515,13.3
"2028",47.52794,-116.0515,5.9
"2029",47.52794,-116.0515,25
"2030",47.52794,-116.0515,19.5
"2031",47.52794,-116.0515,4.3
"2033",47.52794,-116.0515,2
"2034",47.52794,-116.0515,21
"2041",47.52794,-116.0515,6.3
"2042",47.52794,-116.0515,6.5
"2043",47.52794,-116.0515,20.9
"2044",47.52794,-116.0515,0.0176776695297
"2045",47.52794,-116.0515,8.8
"2046",47.52794,-116.0515,5.6
"2048",47.52794,-116.0515,9.5
"2049",47.52794,-116.0515,0.67
"2050",47.535858,-116.118044,1
"2052",47.535858,-116.118044,0.72
"2056",47.535858,-116.118044,1.1
"2058",47.535858,-116.118044,4.5
"2062",47.535858,-116.118044,4.1
"2063",45.49924,-106.120093,15
"2064",45.49924,-106.120093,4
"2065",45.49924,-106.120093,2.12132034356
"2073",45.49924,-106.120093,1
"2078",39.7268,-121.8625,0.0707106781187
"2079",45.450029,-106.12002,2.12132034356
"2090",45.450029,-106.12002,0.707106781187
"2094",46.6519,-111.9811,17
"2095",46.6519,-111.9811,20
"2098",46.6519,-111.9811,18
"2099",46.6519,-111.9811,35.3553390593
"2102",47.49369,-115.9742,3
"2120",47.49369,-115.9742,1
"2129",47.49369,-115.9742,0.56
"2137",47.49369,-115.9742,1.1
"2143",47.49369,-115.9742,2.12132034356
"2145",47.49369,-115.9742,2
"2147",47.49369,-115.9742,0.64
"2152",38.2375122,-120.94793808,0.707106781187
"2154",45.472692,-106.203631,2.12132034356
"2166",45.472692,-106.203631,0.707106781187
"2170",40.4479,-122.1972,0.0707106781187
"2171",35.2327,-92.1745,0.707106781187
"2172",35.2327,-92.1745,0.353553390593
"2174",39.4556,-121.6369,0.707106781187
"2400",40.9582,-122.2203,0.0707106781187
"2401",30.45643,-84.3701,7.07106781187
"2402",30.45643,-84.3701,0.707106781187
"2406",30.45643,-84.3701,0.74
"2407",30.45643,-84.3701,0.78
"2414",30.45643,-84.3701,1.76776695297
"2418",30.45643,-84.3701,0.72
"2420",47.9329685,-118.0972577,10
"2422",47.9329685,-118.0972577,5
"2423",41.7787,-123.0373,0.0707106781187
